1	 5,108.00 
2	 26,170.00 
3	 50,000.00 
4	 4,000.00
####5	 45,000.00
6	 3,082.00 
7	 3,275.00 
8	 176.00 
##9	 4,743.00 
10	 4,180.00 
11	 4,437.00 
12	 7,297.00 
13	 1,657.00 
##14	 5,757.00 
15	 6,783.00 
16	 5,060.00 
17	 4,657.00 
18	 2,860.00 
19	 27,862.00 
20	 2,525.00 
21	 11,984.00 
22	 50,000.00 
23	 7,077.00 
24	 4,767.00 
25	 5,280.00 
26	 5,023.00 
27	 1,231.00 
28	 3,900.00 
29	 7,800.00 
30	 11,653.00 
31	 13,065.00 
32	 3,000.00 
33	 2,700.00 
34	 5,940.00 
35	 9,350.00 
36	 9,313.00 
37	 9,093.00 
38	 16,760.00 
39	 3,007.00 
40	 5,023.00 
41	 7,169.00 
42	 7,333.00 
43	 9,197.00 
44	 9,093.00 
45	 9,900.00 
46	 8,507.00 
47	 10,617.00 
48	 6,050.00 
49	 10,497.00 
50	 7,297.00 
51	 7,297.00 
52	 5,353.00 
53	 7,773.00 
54	 5,353.00 
55	 13,216.00 
56	 8,612.00 
57	 1,678.00 
58	 42,525.00 
59	 9,093.00 
60	 16,000.00 
61	 10,975.00 
62	 420.00 
63	 16,227.00 
64	 8,030.00 
65	 3,740.00 
66	 16,223.00 
67	 8,507.00 
68	 11,770.00 
69	 3,000.00 
70	 3,300.00 
71	 1,000.00 
72	 10,580.00 
73	 2,017.00 
74	 257.00 
75	 3,000.00 
76	 964.00 
###77	 8,000.00 
78	 2,575.00 
79	 3,000.00 
80	 5,000.00 
81	 5,000.00 
82	 5,971.00 
83	 1,000.00 
84	 1,170.00 
85	 2,100.00 
86	 3,000.00 
87	 7,000.00 
88	 6,000.00 
89	 4,068.50 
90	 3,000.00 
91	 5,540.00 
92	 6,900.00 
93	 4,176.00 
94	 3,000.00 
95	 8,691.00 
96	 16,951.00 
97	 2,000.00 
98	 3,290.00 
99	 2,789.00 
100	 6,901.00 
101	 2,730.00 
102	 2,997.00 
103	 2,500.00 
104	 2,500.00 
105	 10,052.00 
106	 2,000.00 
107	 2,911.00 
108	 2,445.00 
109	 1,350.00 
110	 3,985.00 
111	 1,765.00 
112	 1,872.00 
113	 1,100.00 
114	 1,265.00 
115	 4,485.00 
116	 4,500.00 
117	 6,392.00 
118	 4,408.00 
119	 1,000,000.00 
###120	 200,000.00 
121	 6,165.00 
122	 5,808.00 
123	 3,000.00 
124	 6,274.00 
125	 10,000.00 
126	 5,334.00 
127	 10,000.00 
128	 14,600.00 
129	 4,700.00 
130	 5,000.00 
131	 5,500.00 
132	 6,018.00 
###133	 19,020.00 
134	 7,000.00 
135	 3,277.00 
136	 3,000.00 
137	 7,986.80 
138	 8,600.00 
139	 7,460.00 
140	 7,038.00 
141	 4,100.00 
142	 7,000.00 
143	 2,250.00 
144	 1,500.00 
145	 4,544.00 
146	 13,967.00 
147	 3,400.00 
